Title,Location,Price,Area
                        House Meerlandenweg 5                            ,            1187 ZR Amstelveen (Legmeerpolder)        ,"                €4,500 per month            ",164 m²
                        Apartment Teteringsedijk                            ,            4817 MK Breda (Brabantpark)        ,"                €1,150 per month            ",55 m²
                        Apartment Rembrandtweg                            ,            1181 GL Amstelveen (Kruiskerkbuurt)        ,"                €2,350 per month            ",98 m²
                        Apartment Venusstraat                            ,            6043 VK Roermond (Sterrenberg)        ,                €750 per month            ,40 m²
                        Apartment Weena 389 D                            ,            3013 AL Rotterdam (Cs Kwartier)        ,"                €1,415 per month            ",104 m²
                        House Aubachstraat 5                            ,            1946 XJ Beverwijk (Oosterwijk)        ,"                €1,850 per month            ",98 m²
                        Apartment Boterstraat 4 A                            ,            7411 DA Deventer (Centrum)        ,"                €1,450 per month            ",100 m²
                        House Jamaicadreef 27                            ,"            3563 SN Utrecht (Vechtzoom-noord, Klopvaart)        ","                €1,950 per month            ",125 m²
                        House Van der Duijn van Maasdamweg                            ,            3045 PE Rotterdam (Zestienhoven)        ,"                €2,495 per month            ",138 m²
                        Apartment Stadsring                            ,            3811 HM Amersfoort (Smallepad e.o.)        ,                €739 per month            ,40 m²
                        Studio Kortekade                            ,            3062 GM Rotterdam (Kralingen Oost)        ,                €625 per month            ,20 m²
                        Apartment Stationsstraat                            ,            7311 MH Apeldoorn (De Haven)        ,                €995 per month            ,78 m²
                        House Billitonstraat                            ,            5014 CB Tilburg (Loven Oost)        ,"                €1,595 per month            ",117 m²
                        Room Van der Weeghensingel                            ,            5212 PJ Den Bosch (De Muntel)        ,                €475 per month            ,16 m²
                        Apartment Graafseweg                            ,            5213 AL Den Bosch (De Hinthamerpoort)        ,"                €1,150 per month            ",90 m²
                        House Hamerstraat                            ,            2512 CX Den Haag (Zuidwal)        ,"                €1,150 per month            ",49 m²
                        House Charlotte van Bourbonhof                            ,            5611 HZ Eindhoven (Bergen)        ,"                €2,350 per month            ",111 m²
                        Apartment Burgemeester De Monchyplein 227                            ,            2585 DJ Den Haag (Archipelbuurt)        ,"                €2,350 per month            ",107 m²
                        Apartment Hanenburglaan 26 A                            ,            2565 GS Den Haag (Bomenbuurt)        ,"                €1,550 per month            ",92 m²
                        Apartment Koopvaardijhof                            ,            3071 PK Rotterdam (Noordereiland)        ,"                €1,595 per month            ",76 m²
                        House Teylersplein 2 B9                            ,            2441 LE Nieuwveen (Schoterveld)        ,"                €1,200 per month            ",55 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        House 1e Jerichostraat 57 A                            ,            3061 GC Rotterdam (Kralingen West)        ,"                €2,500 per month            ",110 m²
                        Apartment Ceresstraat                            ,            4811 CA Breda (Station)        ,"                €1,975 per month            ",130 m²
                        House Tsjerkestrjitte 15                            ,            9145 RE Ternaard (Ternaard)        ,"                €1,100 per month            ",92 m²
                        Apartment Leerdamhof 173                            ,            1108 BP Amsterdam (Nellestein)        ,"                €1,650 per month            ",85 m²
                        Apartment Zijlstraat 70                            ,            2011 TR Haarlem (Binnenstad)        ,"                €2,495 per month            ",95 m²
                        House Burnierstraat                            ,            2596 HV Den Haag (Waalsdorp)        ,"                €3,500 per month            ",427 m²
                        Apartment Koningin Emmakade                            ,            2518 JM Den Haag (Sweelinckplein en omgeving)        ,                €995 per month            ,40 m²
                        House Annie Foorestraat                            ,            4005 MJ Tiel (Latenstein)        ,"                €1,650 per month            ",258 m²
                        House Lydweg                            ,            1921 XL Akersloot (Akersloot West)        ,"                €1,650 per month            ",110 m²
                        House Loopakker                            ,            4824 SB Breda (Gageldonk)        ,"                €1,750 per month            ",130 m²
                        Apartment Valeriusstraat 245 2                            ,            1075 GB Amsterdam (Willemspark)        ,"                €2,500 per month            ",64 m²
                        Apartment Aalsmeerweg 81 4                            ,            1059 AE Amsterdam (Hoofddorppleinbuurt)        ,"                €1,650 per month            ",50 m²
                        Apartment Sint Willibrordusstraat 10                            ,            1074 XL Amsterdam (Nieuwe Pijp)        ,"                €2,500 per month            ",118 m²
                        House Gerard van Loonstraat 8                            ,            2612 HV Delft (Koepoort)        ,"                €1,395 per month            ",95 m²
                        Apartment Markt                            ,            3142 GE Maassluis (Vertobuurt)        ,"                €1,350 per month            ",71 m²
                        Apartment Burgemeester Andriessenstraat 52                            ,            1217 RH Hilversum (Boomberg)        ,"                €1,300 per month            ",61 m²
                        Apartment Osdorpplein                            ,            1068 TB Amsterdam (Osdorp-Oost)        ,"                €1,800 per month            ",89 m²
                        House Predikherenstraat 15                            ,            3512 TL Utrecht (Breedstraat en Plompetorengracht en omgeving)        ,"                €2,400 per month            ",115 m²
                        House Hoge Duin en Daalseweg 28                            ,            2061 AH Bloemendaal (Bloemendaal)        ,"                €4,950 per month            ",258 m²
                        Apartment Hellingweg 76 C                            ,            2583 WH Den Haag (Vissershaven)        ,"                €1,350 per month            ",83 m²
                        Apartment Denneweg 128 A                            ,            2514 CL Den Haag (Voorhout)        ,"                €2,150 per month            ",110 m²
                        Apartment Symonszstraat                            ,            2584 CW Den Haag (Visserijbuurt)        ,"                €1,200 per month            ",24 m²
                        House Bijendans                            ,            2907 TA Capelle aan den IJssel (Dansenbuurt-zuid)        ,"                €1,395 per month            ",135 m²
                        Apartment Rustenburgerstraat                            ,            1072 HA Amsterdam (Nieuwe Pijp)        ,"                €2,295 per month            ",63 m²
                        Apartment St Hubertusstraat 17                            ,            5614 CH Eindhoven (Tuindorp)        ,"                €1,625 per month            ",100 m²
                        Apartment Teakhout                            ,            1507 EM Zaandam (Westerspoor)        ,"                €1,330 per month            ",59 m²
                        House Kapelstraat                            ,            7311 BK Apeldoorn (Binnenstad)        ,"                €1,200 per month            ",114 m²
                        Apartment Maanderweg 4 8                            ,            6711 ND Ede (Centrum Ede)        ,"                €1,550 per month            ",120 m²
                        Apartment Waalsdorperweg 101                            ,            2597 HR Den Haag (Waalsdorp)        ,"                €3,900 per month            ",158 m²
                        Apartment Manresapark 30                            ,            5915 GR Venlo (Jezuïtenbuurt)        ,                €980 per month            ,79 m²
                        Apartment Maalderijstraat                            ,            2312 WW Leiden (Havenwijk-Zuid)        ,"                €2,100 per month            ",98 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House Dorpsstraat                            ,            9474 PD Zuidlaarderveen (Zuidlaarderveen)        ,                €800 per month            ,60 m²
                        Apartment Bakenbergseweg 7 4                            ,            6814 MA Arnhem (Sterrenberg)        ,"                €1,375 per month            ",105 m²
                        Apartment Fidelishof                            ,            1971 PB IJmuiden (Velseroord)        ,"                €1,400 per month            ",66 m²
                        Apartment Joseph Hollmanstraat 27 A                            ,            6217 KX Maastricht (Brusselsepoort)        ,"                €1,095 per month            ",70 m²
                        Apartment 1e Lulofsdwarsstraat 14 Q                            ,            2521 AZ Den Haag (Laakhaven-West)        ,"                €1,404 per month            ",78 m²
                        Apartment Stoeterij 22                            ,            6851 NW Huissen (Het Zand)        ,"                €1,100 per month            ",71 m²
                        Apartment Boterdiep                            ,            9712 LS Groningen (Hortusbuurt-Ebbingekwartier)        ,"                €1,295 per month            ",55 m²
                        Apartment Peter Schatstraat                            ,            1082 MX Amsterdam (Zuidas)        ,"                €6,750 per month            ",158 m²
                        Apartment Ewoudt van der Dussenlaan                            ,            2273 HP Voorburg (Bovenveen noord)        ,"                €1,395 per month            ",70 m²
                        Apartment Parmentierweg                            ,            2316 ZP Leiden (Stationskwartier)        ,"                €1,495 per month            ",77 m²
                        Apartment Mastbosstraat                            ,            4813 GT Breda (Princenhage)        ,"                €1,475 per month            ",86 m²
                        Apartment Kerkstraat                            ,            1354 AB Almere (Centrum Almere Haven)        ,"                €1,095 per month            ",59 m²
                        Apartment Vrederustlaan                            ,            2543 TC Den Haag (Dreven en Gaarden)        ,"                €1,750 per month            ",139 m²
                        Apartment Siersteenlaan                            ,            9743 ES Groningen (Vinkhuizen-Zuid)        ,"                €1,300 per month            ",106 m²
                        Apartment Dr. A.F. Philipsweg                            ,            9403 AC Assen (Havenkanaal Zuidzijde)        ,                €925 per month            ,80 m²
                        Apartment Paradijslaan 140 D                            ,            3034 SV Rotterdam (Nieuw Crooswijk)        ,"                €2,000 per month            ",174 m²
                        Apartment Rosenburch 102                            ,            2321 RC Leiden (Gasthuiswijk)        ,                €875 per month            ,54 m²
                        House Hoekendaal                            ,            5761 CK Bakel (Bakel)        ,"                €4,500 per month            ",241 m²
                        Apartment Hoofdstraat                            ,            2071 EG Santpoort-Noord (Bloemenbuurt)        ,"                €1,750 per month            ",125 m²
                        Apartment Doelenstraat 23                            ,            6711 AR Ede (Centrum Ede)        ,"                €1,295 per month            ",89 m²
                        Apartment Assendelftstraat                            ,            2512 VW Den Haag (Kortenbos)        ,                €995 per month            ,35 m²
                        Apartment Helper Brink 61 147                            ,            9722 EK Groningen (Coendersborg)        ,                €660 per month            ,70 m²
                        House Eindenhoutstraat 17                            ,            2012 MH Haarlem (Bosch en Vaart)        ,"                €4,500 per month            ",200 m²
                        Apartment Van Speykstraat                            ,            9726 BN Groningen (Zeeheldenbuurt)        ,"                €1,375 per month            ",70 m²
                        Apartment Rozenoord                            ,            1181 MC Amstelveen (Elsrijk Oost)        ,"                €2,150 per month            ",85 m²
                        Apartment Drielandendreef                            ,            3845 CG Harderwijk (Muziekland III)        ,"                €1,195 per month            ",75 m²
                        Apartment Vincent van den Heuvellaan                            ,            5612 MZ Eindhoven (Woenselse Watermolen)        ,"                €2,250 per month            ",78 m²
                        Apartment M.L. Kingstraat 160                            ,            9728 WK Groningen (Hoornse Meer)        ,"                €2,250 per month            ",170 m²
                        House Reigersbek                            ,            7443 TS Nijverdal (Kruidenwijk West)        ,"                €1,195 per month            ",115 m²
                        House Zaaiwaard                            ,            5308 JK Aalst (Verspreide huizen in de polder Aalst)        ,"                €1,250 per month            ",55 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        House Saturnus                            ,            5591 PB Heeze (Heeze)        ,"                €1,950 per month            ",150 m²
                        Apartment 's-Gravendijkwal 140 B                            ,            3015 CC Rotterdam (Oude Westen)        ,"                €1,250 per month            ",62 m²
                        Apartment Pannekoekstraat                            ,            3011 LH Rotterdam (Stadsdriehoek)        ,"                €1,595 per month            ",81 m²
                        Apartment Kromme Spieringweg 521                            ,            2141 AK Vijfhuizen (Vijfhuizen)        ,                €900 per month            ,35 m²
                        Apartment Chabotlaan 271                            ,            3055 AH Rotterdam (Molenlaankwartier)        ,"                €1,375 per month            ",82 m²
                        Apartment Haammakerstraat 252                            ,            5801 TH Venray (Veltum 1)        ,                €975 per month            ,110 m²
                        House Herman Heijermanshove                            ,            3438 HD Nieuwegein (Hoven-Oost)        ,"                €2,300 per month            ",135 m²
                        Apartment Sint Maartenslaan                            ,            6221 AX Maastricht (Sint Maartenspoort)        ,"                €1,100 per month            ",85 m²
                        Apartment Wolkammersdreef                            ,            6216 RN Maastricht (Belfort)        ,                €995 per month            ,80 m²
                        Apartment Zocherstraat 14 3                            ,            1054 LX Amsterdam (Overtoomse Sluis)        ,"                €5,000 per month            ",120 m²
                        Apartment Grote Houtstraat 117 A                            ,            2011 SJ Haarlem (Vijfhoek)        ,"                €2,500 per month            ",101 m²
                        Studio Julianalaan                            ,            3116 JW Schiedam (Haverschmidtkwartier)        ,                €795 per month            ,32 m²
                        House Haspengouw                            ,            6227 RM Maastricht (Heer)        ,"                €1,150 per month            ",90 m²
                        House Hoge Barakken                            ,            6221 CM Maastricht (Wyck)        ,"                €1,995 per month            ",125 m²
                        Apartment Aart van der Leeuwkade 67                            ,            2274 LA Voorburg (Voorburg Midden midden)        ,"                €1,250 per month            ",65 m²
                        Apartment Garenmarkt                            ,            2311 PG Leiden (Levendaal-West)        ,"                €1,350 per month            ",26 m²
                        Apartment Binnenhof 16                            ,            1906 HM Limmen (Limmen West)        ,"                €1,050 per month            ",54 m²
                        Apartment Professor van der Veldenstraat 17                            ,            6524 PN Nijmegen (Galgenveld)        ,"                €1,325 per month            ",87 m²
                        House Brouwersstraat                            ,            5473 HB Heeswijk-Dinther (St. Servatius - Schoonstr - Den Dolvert)        ,"                €1,550 per month            ",210 m²
                        House Middelgeestlaan                            ,            2251 RZ Voorschoten (Starrenburg)        ,"                €2,950 per month            ",137 m²
                        Apartment Westenburgerweg                            ,            5213 ST Den Bosch (De Hinthamerpoort)        ,"                €1,175 per month            ",64 m²
                        House Edelweisslaan                            ,            5582 BW Waalre (Voldijn)        ,"                €2,900 per month            ",194 m²
                        Apartment 's-Gravenweg                            ,            3065 SC Rotterdam ('s-Gravenland)        ,"                €1,095 per month            ",54 m²
                        House Dr. Kuyperlaan                            ,            3445 CL Woerden (Staatsliedenkwartier)        ,"                €1,295 per month            ",120 m²
                        House Turfschip 66                            ,            1186 XM Amstelveen (Punterbuurt)        ,"                €2,500 per month            ",150 m²
                        Apartment Schonebergerweg                            ,            3023 ZM Rotterdam (Nieuwe Westen)        ,"                €2,200 per month            ",70 m²
                        House Lankven                            ,            5508 RJ Veldhoven (Verspreide huizen Scherpenering en Landsaard)        ,"                €2,950 per month            ",220 m²
                        Apartment Snellenshof                            ,            4811 LN Breda (Fellenoord)        ,"                €1,495 per month            ",100 m²
                        Apartment Octant 49                            ,            3328 SE Dordrecht (Waterman en omgeving)        ,                €815 per month            ,85 m²
                        House Wijttenbachweg 34                            ,            2343 XZ Oegstgeest (Voscuyl)        ,"                €1,750 per month            ",120 m²
                        Apartment Keizersgracht                            ,            1016 EG Amsterdam (Grachtengordel-West)        ,"                €6,000 per month            ",270 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House Hannie Schaftstraat                            ,            2033 PJ Haarlem (Verzetsliedenbuurt)        ,"                €1,950 per month            ",125 m²
                        Apartment Adriaan Dortsmanstraat 153                            ,            3067 NC Rotterdam (Het Lage Land)        ,"                €1,475 per month            ",88 m²
                        Apartment Paetsstraat 13 C                            ,            3039 XM Rotterdam (Blijdorp)        ,"                €1,750 per month            ",109 m²
                        Apartment Amstelveenseweg 194 III                            ,            1075 XR Amsterdam (Schinkelbuurt)        ,"                €1,950 per month            ",73 m²
                        Apartment Klapwijkse Zoom                            ,            2652 AZ Berkel en Rodenrijs (Parkbuurt)        ,"                €2,695 per month            ",142 m²
                        Apartment Hoornbrekersstraat                            ,            3011 CL Rotterdam (Stadsdriehoek)        ,"                €1,350 per month            ",54 m²
                        Apartment Kortenaerstraat                            ,            3012 VB Rotterdam (Cool)        ,"                €1,700 per month            ",88 m²
                        Apartment Hendrick Sorchstraat                            ,            3021 VD Rotterdam (Middelland)        ,                €775 per month            ,23 m²
                        House Grietstraat                            ,            3514 VJ Utrecht (Vogelenbuurt)        ,"                €2,950 per month            ",130 m²
                        Apartment Van Hogendorpstraat                            ,            5046 LC Tilburg (Textielbuurt Oost)        ,"                €1,175 per month            ",90 m²
                        Apartment Jozef Israëlsstraat 40                            ,            9718 GM Groningen (Schildersbuurt)        ,                €985 per month            ,40 m²
                        Apartment De Klok                            ,            5251 DN Vlijmen (Vlijmen-Dorp)        ,"                €1,500 per month            ",110 m²
                        Apartment P Czn Hooftlaan                            ,            5611 NZ Eindhoven (Elzent-Noord)        ,"                €1,395 per month            ",85 m²
                        House Uranusstraat                            ,            9742 JW Groningen (Paddepoel-Noord)        ,"                €1,350 per month            ",120 m²
                        House Vlaardingsekade                            ,            2636 BC Schipluiden (Schipluiden)        ,"                €2,195 per month            ",102 m²
                        Apartment Herenstraat                            ,            3911 JG Rhenen (Cunera)        ,"                €1,850 per month            ",100 m²
                        Apartment Nida Senffstraat                            ,            1095 MX Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,800 per month            ",70 m²
                        House Archipel 22 22 04                            ,"            8224 GM Lelystad (Archipel, Beukenhof, Rozengaard)        ","                €1,500 per month            ",137 m²
                        Room Tivolistraat                            ,            5017 HT Tilburg (Tivoli)        ,                €550 per month            ,19 m²
                        House Stationsstraat                            ,            8181 CW Heerde (Heerde)        ,"                €1,050 per month            ",140 m²
                        Apartment Stationsstraat                            ,            7311 MH Apeldoorn (De Haven)        ,                €995 per month            ,77 m²
                        House Haafkensborg                            ,            6228 CD Maastricht (De Heeg)        ,"                €1,350 per month            ",130 m²
                        Apartment Fideliolaan 70                            ,            1183 PM Amstelveen (Operabuurt)        ,"                €1,650 per month            ",78 m²
                        Apartment Koornmarkt                            ,            2611 EH Delft (Centrum)        ,"                €1,495 per month            ",40 m²
                        Apartment Paramaribostraat 132 2                            ,            1058 VP Amsterdam (Westindische Buurt)        ,"                €3,300 per month            ",133 m²
                        Apartment Koetsierbaan                            ,            1315 SP Almere (Centrum Almere Stad)        ,"                €2,500 per month            ",154 m²
                        Apartment Piet Gijzenbrugstraat 30 2                            ,            1059 XJ Amsterdam (Hoofddorppleinbuurt)        ,"                €2,300 per month            ",80 m²
                        Apartment Steenweg 45 A                            ,            6131 BC Sittard (Sittard-Centrum)        ,                €610 per month            ,55 m²
                        Apartment Utrechtse Veer 8                            ,            2311 NB Leiden (Levendaal-Oost)        ,                €340 per month            ,15 m²
                        Apartment Kapellestraat                            ,            3421 CV Oudewater (Kern Oudewater)        ,"                €1,300 per month            ",75 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Veilinghavenkade                            ,            3521 AT Utrecht (Dichterswijk)        ,"                €2,295 per month            ",130 m²
                        Apartment Bergse Dorpsstraat 101 A-02                            ,            3054 GC Rotterdam (Hillegersberg Noord)        ,"                €1,550 per month            ",94 m²
                        Apartment Zwartbroekstraat                            ,            6041 JL Roermond (Binnenstad)        ,                €550 per month            ,69 m²
                        Apartment Catharijnesingel                            ,            3511 GM Utrecht (Hooch Boulandt)        ,"                €1,650 per month            ",32 m²
                        Apartment Plantage Doklaan                            ,            1018 CN Amsterdam (Weesperbuurt/Plantage)        ,"                €1,800 per month            ",42 m²
                        House Donkerbos                            ,            6626 KX Alphen (Buitengebied Alphen)        ,"                €1,250 per month            ",112 m²
                        Apartment Burgemeester Loeffplein                            ,            5211 RZ Den Bosch (Binnenstad-Centrum)        ,                €945 per month            ,65 m²
                        Apartment Raadhuisstraat                            ,            2406 AH Alphen aan den Rijn (Van Boetzelaerstraat)        ,"                €1,125 per month            ",74 m²
                        House Europalaan                            ,            5298 TM Liempde (Liempde)        ,"                €1,495 per month            ",95 m²
                        Apartment Florijnruwe                            ,            6218 CJ Maastricht (Malberg)        ,                €825 per month            ,70 m²
                        Apartment Teteringenstraat                            ,            4817 MN Breda (Brabantpark)        ,                €418 per month            ,15 m²
                        Apartment Lindenlaan 627                            ,            1185 LX Amstelveen (Van der Leekbuurt)        ,"                €1,795 per month            ",76 m²
                        Apartment Portlandstraat                            ,            3082 XE Rotterdam (Oud Charlois)        ,                €800 per month            ,55 m²
                        Apartment Wilhelminasingel 230 D6                            ,            6001 GV Weert (Weert-Centrum)        ,                €805 per month            ,13 m²
                        Apartment Ringbaan-Noord                            ,            5046 AC Tilburg (Goirke Noord)        ,                €895 per month            ,50 m²
                        Apartment Faas Wilkesstraat                            ,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €2,450 per month            ",105 m²
                        House Noordeinde                            ,            3238 BG Zwartewaal (Zalmlaan)        ,"                €1,395 per month            ",76 m²
                        Room Korte Tuinstraat                            ,            5038 SJ Tilburg (Binnenstad Oost)        ,                €360 per month            ,14 m²
                        House Valreep 40 hs                            ,            1186 VZ Amstelveen (Galjoenbuurt)        ,"                €3,600 per month            ",200 m²
                        Apartment Keizersgracht                            ,            1015 CW Amsterdam (Grachtengordel-West)        ,"                €2,750 per month            ",80 m²
                        Apartment Vazalstraat                            ,            5021 DP Tilburg (Fatima West)        ,                €975 per month            ,45 m²
                        Apartment Unolaan 12                            ,            6413 CT Heerlen (Pronsebroek)        ,                €740 per month            ,80 m²
                        Apartment Wittgensteinlaan                            ,            1062 KA Amsterdam (Westlandgracht)        ,"                €2,000 per month            ",95 m²
                        Apartment Burgemeester Hogguerstraat                            ,            1064 CW Amsterdam (Slotermeer-Zuidwest)        ,"                €1,450 per month            ",50 m²
                        Apartment Oudedijk 211 C                            ,            3061 AE Rotterdam (Kralingen West)        ,"                €2,195 per month            ",120 m²
                        House Veerstraat 49                            ,            9665 SE Oude Pekela (Oude Pekela)        ,                €865 per month            ,111 m²
                        House Miróstraat                            ,            1328 JR Almere (Tussen de Vaarten zuid)        ,"                €1,795 per month            ",101 m²
                        Apartment Zuid Willemsvaart                            ,            5211 NW Den Bosch (Binnenstad-Noord)        ,"                €1,105 per month            ",50 m²
                        House Slingerweg                            ,            2243 GT Wassenaar (De Kieviet)        ,"                €8,500 per month            ",450 m²
                        House de Vorster                            ,            5688 VJ Oirschot (De Notel)        ,"                €1,895 per month            ",167 m²
                        House Schoolpad 4                            ,            1111 CS Diemen (Centrum West)        ,"                €2,250 per month            ",104 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        Apartment Postelstraat                            ,            5211 DW Den Bosch (Binnenstad-Centrum)        ,                €995 per month            ,60 m²
                        Apartment Meander 555                            ,            1181 WN Amstelveen (Stadshart)        ,"                €4,000 per month            ",125 m²
                        Apartment Vinkenstraat                            ,            1506 CN Zaandam (Oud West)        ,"                €1,400 per month            ",85 m²
                        Apartment Simon van Leeuwenstraat                            ,            5652 SG Eindhoven (Lievendaal)        ,"                €1,295 per month            ",58 m²
                        Apartment Karel de Grotelaan                            ,            5653 HA Eindhoven (Genderdal)        ,"                €1,595 per month            ",35 m²
                        House Nijensteinheerd 113                            ,            9736 TJ Groningen (Beijum-Oost)        ,                €945 per month            ,111 m²
                        Apartment Gasthuissteeg 15                            ,            1441 BJ Purmerend (Binnenstad)        ,"                €1,050 per month            ",53 m²
                        House Rosmertastraat 12                            ,            1363 XV Almere (Homeruskwartier)        ,"                €1,895 per month            ",121 m²
                        Apartment Egelantiersgracht 446                            ,            1015 RR Amsterdam (Jordaan)        ,"                €2,500 per month            ",103 m²
                        Apartment Paulus Potterstraat 24 2                            ,            1071 DA Amsterdam (Museumkwartier)        ,"                €11,000 per month            ",242 m²
                        Apartment Martinus Nijhofflaan 132                            ,            2624 ME Delft (Poptahof-Zuid)        ,"                €1,350 per month            ",72 m²
                        Apartment Haarlemmermeerstraat                            ,            1058 JP Amsterdam (Hoofddorppleinbuurt)        ,"                €2,250 per month            ",75 m²
                        Apartment Amstel                            ,            1017 AC Amsterdam (Grachtengordel-Zuid)        ,"                €2,975 per month            ",144 m²
                        Apartment Jan den Haenstraat 42                            ,            1055 WH Amsterdam (Landlust)        ,"                €2,500 per month            ",120 m²
                        Apartment Amsterdamsestraatweg                            ,"            3551 CG Utrecht (Egelantierstraat, Mariëndaalstraat e.o.)        ","                €1,795 per month            ",75 m²
                        Apartment Aziëlaan                            ,            3526 SX Utrecht (Kanaleneiland-Zuid)        ,"                €1,595 per month            ",92 m²
                        Apartment Baanstraat                            ,            1942 CJ Beverwijk (Ronde Boogaard)        ,"                €1,450 per month            ",71 m²
                        Apartment Alexanderkade                            ,            1018 CH Amsterdam (Weesperbuurt/Plantage)        ,"                €1,900 per month            ",90 m²
                        House Holtrichtersveld                            ,            7327 DM Apeldoorn (Matenveld)        ,"                €1,395 per month            ",123 m²
                        Apartment Stationsstraat                            ,            7311 NN Apeldoorn (Binnenstad)        ,"                €1,200 per month            ",73 m²
                        Apartment Sonny Rollinsstraat                            ,            3543 GR Utrecht (Terwijde-Oost)        ,"                €1,650 per month            ",88 m²
                        Apartment Stationstraat 7 a                            ,            6231 CK Meerssen (Meerssen)        ,                €940 per month            ,80 m²
                        Apartment Schalkwijkerstraat                            ,            2033 JB Haarlem (Kruistochtbuurt)        ,"                €1,500 per month            ",70 m²
                        Apartment Markt 45                            ,            2611 GR Delft (Centrum)        ,"                €1,155 per month            ",75 m²
                        Apartment Eeldersingel                            ,            9726 AR Groningen (Badstratenbuurt)        ,"                €1,595 per month            ",62 m²
                        House Mecklenburgstraat                            ,"            5616 AP Eindhoven (Eliasterrein, Vonderkwartier)        ","                €2,500 per month            ",118 m²
                        Apartment Lange Leidsedwarsstraat                            ,            1017 NR Amsterdam (De Weteringschans)        ,"                €2,700 per month            ",100 m²
                        Apartment Daguerrestraat                            ,            2561 TM Den Haag (Koningsplein en omgeving)        ,"                €1,950 per month            ",109 m²
                        Apartment Amundsenlaan                            ,            5623 PT Eindhoven (Oude Toren)        ,"                €1,795 per month            ",90 m²
                        Apartment Maashavenweg                            ,            3072 AZ Rotterdam (Katendrecht)        ,"                €2,495 per month            ",103 m²
                        Apartment Henri Hermanslaan 161                            ,            6162 GE Geleen (Geleen-Noord)        ,                €800 per month            ,78 m²
                        House Gein-Zuid 12                            ,            1391 GT Abcoude (Abcoude Buitengebied)        ,"                €3,000 per month            ",190 m²
                        Apartment Wijnbrugstraat                            ,            3011 XW Rotterdam (Stadsdriehoek)        ,"                €2,495 per month            ",117 m²
                        House Walhofstraat 54                            ,            7522 BM Enschede (Walhof-Roessingh)        ,"                €1,300 per month            ",97 m²
                        Apartment Orchideestraat                            ,            3051 NL Rotterdam (Hillegersberg Zuid)        ,"                €2,500 per month            ",110 m²
                        Apartment Jonkerstraat                            ,            1781 RK Den Helder (Visbuurt)        ,                €595 per month            ,44 m²
                        Apartment Cromhoutlaan                            ,            2283 ED Rijswijk (Huis te Lande)        ,"                €1,325 per month            ",90 m²
                        Apartment Velpsestraat                            ,            2573 SV Den Haag (Oostbroek-Zuid)        ,"                €1,195 per month            ",73 m²
                        Apartment Heideveldweg 1 A                            ,            6414 XJ Heerlen (Heksenberg)        ,                €763 per month            ,65 m²
                        Apartment Engelenburg                            ,            2036 RP Haarlem (De Burgen)        ,"                €1,500 per month            ",105 m²
                        House Lage Naarderweg 3 *                            ,            1217 GM Hilversum (Langgewenstbuurt)        ,"                €2,750 per month            ",196 m²
                        Apartment Czaar Peterstraat 156 huis                            ,            1018 PW Amsterdam (Oostelijke Eilanden/Kadijken)        ,"                €1,650 per month            ",37 m²
                        Apartment Nieuwe Prinsengracht                            ,            1018 VV Amsterdam (Weesperbuurt/Plantage)        ,"                €2,300 per month            ",63 m²
                        House Koolveld 2                            ,            2635 LD Den Hoorn (Den Hoorn)        ,"                €2,950 per month            ",191 m²
                        Apartment Brabantse Turfmarkt 33                            ,            2611 CL Delft (Centrum)        ,"                €1,050 per month            ",36 m²
                        Apartment Broekslootkade 69                            ,            2281 TB Rijswijk (Cromvliet)        ,"                €1,450 per month            ",113 m²
                        Apartment Kerkstraat                            ,            4854 CC Bavel (Bavel)        ,"                €1,750 per month            ",120 m²
                        Apartment Haarlemmerweg 49 2                            ,            1051 KP Amsterdam (Staatsliedenbuurt)        ,"                €1,800 per month            ",54 m²
                        House Keizersgracht                            ,            1016 DR Amsterdam (Grachtengordel-West)        ,"                €1,750 per month            ",65 m²
                        Apartment Hoogstraat                            ,            5615 PR Eindhoven (Schrijversbuurt)        ,"                €2,750 per month            ",95 m²
                        Apartment Couperusstraat                            ,            9721 JK Groningen (De Wijert)        ,"                €1,395 per month            ",90 m²
                        Apartment Cavaleriestraat 172                            ,            6135 JM Sittard (Limbrichterveld)        ,                €880 per month            ,86 m²
